	#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Mb)	GC%	Assembly Accession	Replicons	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Status	Center	BioSample Accession	Proteins/Genes
2547	Rhincodon typus	259920	PRJNA842712	842712	Animals	Fishes	2881.33	42.2233	GCA_021869965.1	chromosome 1:CM038798.1; chromosome 2:CM038799.1; chromosome 3:NC_063334.1/CM038800.1; chromosome 4:NC_063335.1/CM038801.1; chromosome 5:NC_063336.1/CM038802.1; chromosome 6:NC_063337.1/CM038803.1; chromosome 7:NC_063338.1/CM038804.1; chromosome 8:NC_063339.1/CM038805.1; chromosome 9:NC_063340.1/CM038806.1; chromosome 10:NC_063341.1/CM038807.1; chromosome 11:NC_063342.1/CM038808.1; chromosome 12:NC_063343.1/CM038809.1; chromosome 13:NC_063344.1/CM038810.1; chromosome 14:NC_063345.1/CM038811.1; chromosome 15:NC_063346.1/CM038812.1; chromosome 16:NC_063347.1/CM038813.1; chromosome 17:NC_063348.1/CM038814.1; chromosome 18:NC_063349.1/CM038815.1; chromosome 19:NC_063350.1/CM038816.1; chromosome 20:NC_063351.1/CM038817.1; chromosome 21:NC_063352.1/CM038818.1; chromosome 22:NC_063353.1/CM038819.1; chromosome 23:NC_063354.1/CM038820.1; chromosome 24:NC_063355.1/CM038821.1; chromosome 25:NC_063356.1/CM038822.1; chromosome 26:NC_063357.1/CM038823.1; chromosome 27:NC_063358.1/CM038824.1; chromosome 28:NC_063359.1/CM038825.1; chromosome 29:NC_063360.1/CM038826.1; chromosome 30:NC_063361.1/CM038827.1; chromosome 31:NC_063362.1/CM038828.1; chromosome 32:NC_063363.1/CM038829.1; chromosome 33:NC_063364.1/CM038830.1; chromosome 34:NC_063365.1/CM038831.1; chromosome 35:NC_063366.1/CM038832.1; chromosome 36:NC_063367.1/CM038833.1; chromosome 37:NC_063368.1/CM038834.1; chromosome 38:NC_063369.1/CM038835.1; chromosome 39:NC_063370.1/CM038836.1; chromosome 40:NC_063371.1/CM038837.1; chromosome 41:NC_063372.1/CM038838.1; chromosome 42:NC_063373.1/CM038839.1; chromosome 43:NC_063374.1/CM038840.1; chromosome 44:NC_063375.1/CM038841.1; chromosome 45:NC_063376.1/CM038842.1; chromosome 46:NC_063377.1/CM038843.1; chromosome 47:NC_063378.1/CM038844.1; chromosome 48:NC_063379.1/CM038845.1; chromosome 49:NC_063380.1/CM038846.1; chromosome 50:NC_063381.1/CM038847.1; mitochondrion MT:CM038906.1	JAHMAH01	16776	23494.0	33673.0	2022/02/02	2022/02/03	Chromosome	NCBI	SAMN19519256	1.433259555631225
2560	Microcaecilia unicolor	1415580	PRJEB32737	549638	Animals	Amphibians	4685.94	44.0677	GCA_901765095.1	chromosome 1:NC_044031.1/LR594632.1; chromosome 2:NC_044032.1/LR594633.1; chromosome 3:NC_044033.1/LR594634.1; chromosome 4:NC_044034.1/LR594635.1; chromosome 5:NC_044035.1/LR594636.1; chromosome 6:NC_044036.1/LR594637.1; chromosome 7:NC_044037.1/LR594638.1; chromosome 8:NC_044038.1/LR594639.1; chromosome 9:NC_044039.1/LR594640.1; chromosome 10:NC_044040.1/LR594641.1; chromosome 11:NC_044041.1/LR594642.1; chromosome 12:NC_044042.1/LR594643.1; chromosome 13:NC_044043.1/LR594644.1; chromosome 14:NC_044044.1/LR594645.1; mitochondrion MT:NC_023515.1/	CABFKK01	1081	26246.0	37109.0	2019/06/18	2021/04/23	Chromosome	Wellcome Sanger Institute	SAMEA104387962	1.4138916406309532
2561	Propithecus coquereli	379532	PRJNA281642	281642	Animals	Mammals	2798.15	43.2	GCA_000956105.1	mitochondrion MT:NC_011053.1/	JZKE01	22539	23039.0	28194.0	2015/03/17	2015/03/23	Scaffold	NCBI	SAMN03121823	1.2237510308607145
2590	Trichechus manatus latirostris	127582	PRJNA68243	68243	Animals	Mammals	3103.81	41.6	GCA_000243295.1	mitochondrion MT:NC_010302.1/	AHIN01	6323	25210.0	36406.0	2012/01/20	2015/04/20	Scaffold	Broad Institute	SAMN00632092	1.4441094803649346
2591	Ceratotherium simum simum	73337	PRJNA74583	74583	Animals	Mammals	2464.37	41.2	GCA_000283155.1	mitochondrion MT:NC_001808.1/	AKZM01	3087	25680.0	33629.0	2012/07/30	2013/11/01	Scaffold	Broad Institute	SAMN00778988	1.3095404984423675
2632	Drosophila santomea	129105	PRJNA702481	702481	Animals	Insects	146.801	42.6223	GCA_016746245.2	chromosome 2L:NC_053016.2/CM028588.2; chromosome 2R:NC_053017.2/CM028589.2; chromosome 3L:NC_053018.2/CM028590.2; chromosome 3R:NC_053019.2/CM028591.2; chromosome 4:NC_053020.2/CM028586.2; chromosome X:NC_053021.2/CM028587.2; mitochondrion MT:CM028611.2	JAECZZ02	104	15485.0	24461.0	2021/01/25	2021/07/30	Chromosome	NCBI	SAMN15573959	1.5796577332902808
2647	Trachypithecus francoisi	54180	PRJNA614514	614514	Animals	Mammals	2875.57	41.1	GCA_009764315.1	mitochondrion MT:NC_023970.1/	VVIV01	1016	37845.0	64364.0	2019/12/18	2019/12/18	Scaffold	NCBI	SAMN12630612	1.7007266481701677
2650	Mastacembelus armatus	205130	PRJEB25769	448129	Animals	Fishes	591.952	40.8629	GCA_900324485.2	chromosome 1:NC_046633.1/LR535833.1; chromosome 2:NC_046634.1/LR535834.1; chromosome 3:NC_046635.1/LR535835.1; chromosome 4:NC_046636.1/LR535836.1; chromosome 5:NC_046637.1/LR535837.1; chromosome 6:NC_046638.1/LR535838.1; chromosome 7:NC_046639.1/LR535839.1; chromosome 8:NC_046640.1/LR535840.1; chromosome 9:NC_046641.1/LR535841.1; chromosome 10:NC_046642.1/LR535842.1; chromosome 11:NC_046643.1/LR535843.1; chromosome 12:NC_046644.1/LR535844.1; chromosome 13:NC_046645.1/LR535845.1; chromosome 14:NC_046646.1/LR535846.1; chromosome 15:NC_046647.1/LR535847.1; chromosome 16:NC_046648.1/LR535848.1; chromosome 17:NC_046649.1/LR535849.1; chromosome 18:NC_046650.1/LR535850.1; chromosome 19:NC_046651.1/LR535851.1; chromosome 20:NC_046652.1/LR535852.1; chromosome 21:NC_046653.1/LR535853.1; chromosome 22:NC_046654.1/LR535854.1; chromosome 23:NC_046655.1/LR535855.1; chromosome 24:NC_046656.1/LR535856.1; mitochondrion MT:NC_023977.1/	OOHQ02	123	25164.0	42270.0	2018/03/31	2021/04/23	Chromosome	Wellcome Sanger Institute	SAMEA104026378	1.679780639008107
2652	Egretta garzetta	188379	PRJNA253831	253831	Animals	Birds	1206.5	42.5	GCA_000687185.1	mitochondrion MT:NC_023981.1/	JJRC01	11791	15435.0	23679.0	2014/04/29	2016/11/17	Scaffold	NCBI	SAMN02596466	1.5341107871720117
2657	Equus przewalskii	9798	PRJNA253941	253941	Animals	Mammals	2395.95	41.3	GCA_000696695.1	mitochondrion MT:NC_024030.1/	ATBW01	53097	28543.0	38416.0	2014/05/30	2014/06/05	Scaffold	NCBI	SAMN02808398	1.3458991696738254
2659	Salmo trutta	8032	PRJEB32115	532576	Animals	Fishes	2371.88	43.5688	GCA_901001165.1	chromosome 1:NC_042957.1/LR584410.1; chromosome 2:NC_042958.1/LR584445.1; chromosome 3:NC_042959.1/LR584416.1; chromosome 4:NC_042960.1/LR584420.1; chromosome 5:NC_042961.1/LR584433.1; chromosome 6:NC_042962.1/LR584406.1; chromosome 7:NC_042963.1/LR584430.1; chromosome 8:NC_042964.1/LR584407.1; chromosome 9:NC_042965.1/LR584409.1; chromosome 10:NC_042966.1/LR584419.1; chromosome 11:NC_042967.1/LR584438.1; chromosome 12:NC_042968.1/LR584441.1; chromosome 13:NC_042969.1/LR584428.1; chromosome 14:NC_042970.1/LR584411.1; chromosome 15:NC_042971.1/LR584415.1; chromosome 16:NC_042972.1/LR584431.1; chromosome 17:NC_042973.1/LR584426.1; chromosome 18:NC_042974.1/LR584435.1; chromosome 19:NC_042975.1/LR584427.1; chromosome 20:NC_042976.1/LR584429.1; chromosome 21:NC_042977.1/LR584437.1; chromosome 22:NC_042978.1/LR584440.1; chromosome 23:NC_042979.1/LR584421.1; chromosome 24:NC_042980.1/LR584412.1; chromosome 25:NC_042981.1/LR584436.1; chromosome 26:NC_042982.1/LR584439.1; chromosome 27:NC_042983.1/LR584424.1; chromosome 28:NC_042984.1/LR584422.1; chromosome 29:NC_042985.1/LR584418.1; chromosome 30:NC_042986.1/LR584432.1; chromosome 31:NC_042987.1/LR584423.1; chromosome 32:NC_042988.1/LR584408.1; chromosome 33:NC_042989.1/LR584414.1; chromosome 34:NC_042990.1/LR584434.1; chromosome 35:NC_042991.1/LR584444.1; chromosome 36:NC_042992.1/LR584442.1; chromosome 37:NC_042993.1/LR584417.1; chromosome 38:NC_042994.1/LR584425.1; chromosome 39:NC_042995.1/LR584413.1; chromosome 40:NC_042996.1/LR584443.1; mitochondrion MT:NC_024032.1/	CAAJIE01	1441	61583.0	87841.0	2019/04/12	2021/04/23	Chromosome	Wellcome Sanger Institute	SAMEA994732	1.4263839046490103
2665	Tyto alba	56313	PRJNA750077	750077	Animals	Birds	1249.87	42.0	GCA_018691265.1		JAEUGV01	70	19198.0	41980.0	2021/06/03	2021/06/03	Scaffold	NCBI	SAMN17526497	2.186686113136785
2677	Haliaeetus albicilla	8969	PRJNA263514	263514	Animals	Birds	1133.55	40.9	GCA_000691405.1		JJRL01	50905	15774.0	19224.0	2014/05/02	2016/11/17	Scaffold	NCBI	SAMN02333670	1.218714340053252
2678	Manacus vitellinus	328815	PRJNA341382	341382	Animals	Birds	1072.33	41.6	GCA_001715985.3		MCBO03	3619	16636.0	24616.0	2016/08/29	2019/07/03	Scaffold	NCBI	SAMN02299332	1.4796826160134648
2684	Aquila chrysaetos chrysaetos	223781	PRJEB27699	487871	Animals	Birds	1233.7	42.2031	GCA_900496995.4	chromosome 1:NC_044004.1/LR606181.1; chromosome 2:NC_044005.1/LR606182.1; chromosome 3:NC_044006.1/LR606183.1; chromosome 4:NC_044007.1/LR606184.1; chromosome 5:NC_044008.1/LR606185.1; chromosome 6:NC_044009.1/LR606186.1; chromosome 7:NC_044010.1/LR606187.1; chromosome 8:NC_044011.1/LR606188.1; chromosome 9:NC_044012.1/LR606189.1; chromosome 10:NC_044013.1/LR606190.1; chromosome 11:NC_044014.1/LR606191.1; chromosome 12:NC_044015.1/LR606192.1; chromosome 13:NC_044016.1/LR606193.1; chromosome 14:NC_044017.1/LR606194.1; chromosome 15:NC_044018.1/LR606195.1; chromosome 16:NC_044019.1/LR606196.1; chromosome 17:NC_044020.1/LR606197.1; chromosome 18:NC_044021.1/LR606198.1; chromosome 19:NC_044022.1/LR606199.1; chromosome 20:NC_044023.1/LR606200.1; chromosome 21:NC_044024.1/LR606201.1; chromosome 22:NC_044025.1/LR606202.1; chromosome 23:NC_044026.1/LR606203.1; chromosome 24:NC_044027.1/LR606204.1; chromosome 25:NC_044028.1/LR606205.1; chromosome 26:NC_044029.1/LR606206.1; chromosome W:NC_054457.1/HG999777.1; chromosome Z:NC_044030.1/LR606180.1	UFQG04	144	21369.0	52413.0	2018/08/29	2021/03/25	Chromosome	Wellcome Sanger Institute	SAMEA994725	2.452758669100098
2687	Corvus brachyrhynchos	85066	PRJNA253849	253849	Animals	Birds	1091.31	42.0	GCA_000691975.1		JMFN01	10547	19328.0	29421.0	2014/05/13	2016/11/17	Scaffold	NCBI	SAMN02297499	1.5221957781456954
2697	Calypte anna	9244	PRJNA558503	558503	Animals	Birds	1059.69	41.6288	GCA_003957555.2	chromosome 1:NC_044244.1/CM012114.1; chromosome 2:NC_044245.1/CM012115.1; chromosome 3:NC_044246.1/CM012116.1; chromosome 4:NC_044247.1/CM012117.1; chromosome 4A:NC_044248.1/CM012143.1; chromosome 4B:NC_044249.1/CM012144.1; chromosome 5:NC_044250.1/CM012118.1; chromosome 5A:NC_044251.1/CM012145.1; chromosome 6:NC_044252.1/CM012119.1; chromosome 7:NC_044253.1/CM012120.1; chromosome 8:NC_044254.1/CM012121.1; chromosome 9:NC_044255.1/CM012122.1; chromosome 10:NC_044256.1/CM012123.1; chromosome 11:NC_044257.1/CM012124.1; chromosome 12:NC_044258.1/CM012125.1; chromosome 13:NC_044259.1/CM012126.1; chromosome 14:NC_044260.1/CM012127.1; chromosome 15:NC_044261.1/CM012128.1; chromosome 17:NC_044262.1/CM012129.1; chromosome 18:NC_044263.1/CM012130.1; chromosome 19:NC_044264.1/CM012131.1; chromosome 20:NC_044265.1/CM012132.1; chromosome 21:NC_044266.1/CM012133.1; chromosome 22:NC_044267.1/CM012134.1; chromosome 23:NC_044268.1/CM012135.1; chromosome 24:NC_044269.1/CM012136.1; chromosome 25:NC_044270.1/CM012137.1; chromosome 26:NC_044271.1/CM012138.1; chromosome 27:NC_044272.1/CM012139.1; chromosome 28:NC_044273.1/CM012140.1; chromosome Z:NC_044274.1/CM012142.1; chromosome W:NC_044276.1/CM012146.1; chromosome 33:NC_044275.1/CM012141.1; mitochondrion MT:CM016612.1	RRCD01	159	16230.0	29214.0	2018/12/20	2019/05/17	Chromosome	NCBI	SAMN02265252	1.8
2698	Aptenodytes forsteri	9233	PRJNA261081	261081	Animals	Birds	1254.35	42.0	GCA_000699145.1		JMFQ01	10672	15419.0	19104.0	2014/05/07	2016/11/17	Scaffold	NCBI	SAMN02596600	1.238990855438096
2701	Charadrius vociferus	50402	PRJNA263452	263452	Animals	Birds	1219.86	42.0	GCA_000708025.2		JMFX02	15167	14757.0	16428.0	2014/05/09	2016/11/17	Scaffold	NCBI	SAMN02296710	1.1132343972352103
2731	Haliaeetus leucocephalus	52644	PRJNA269279	269279	Animals	Birds	1178.41	41.8	GCA_000737465.1		JPRR01	1023	15839.0	25265.0	2014/08/04	2014/08/04	Scaffold	NCBI	SAMN02664716	1.5951133278616074
2745	Chaetura pelagica	8897	PRJNA264987	264987	Animals	Birds	1118.72	41.6	GCA_000747805.2		AVOS01	18703	14355.0	15932.0	2014/09/04	2022/06/10	Scaffold	NCBI	SAMN03018471	1.1098571926158134
2770	Danaus chrysippus	151541	PRJEB47812	768087	Animals	Insects	354.02	30.9	GCA_916720795.1		CAKASE01	83	16257.0	19635.0	2021/10/19	2021/10/19	Contig	UNIVERSITY OF EDINBURGH	SAMEA9973796	1.20778741465215
2779	Aythya fuligula	219594	PRJNA602521	602521	Animals	Birds	1127.0	41.7238	GCA_009819795.1	chromosome 1:NC_045559.1/CM020300.1; chromosome 2:NC_045560.1/CM020301.1; chromosome 3:NC_045561.1/CM020302.1; chromosome 4:NC_045562.1/CM020303.1; chromosome 5:NC_045563.1/CM020304.1; chromosome 6:NC_045564.1/CM020305.1; chromosome 7:NC_045565.1/CM020306.1; chromosome 8:NC_045566.1/CM020307.1; chromosome 9:NC_045567.1/CM020308.1; chromosome 10:NC_045568.1/CM020309.1; chromosome 11:NC_045569.1/CM020310.1; chromosome 12:NC_045570.1/CM020311.1; chromosome 13:NC_045571.1/CM020312.1; chromosome 14:NC_045572.1/CM020313.1; chromosome 15:NC_045573.1/CM020314.1; chromosome 16:NC_045574.1/CM020315.1; chromosome 17:NC_045575.1/CM020316.1; chromosome 18:NC_045576.1/CM020317.1; chromosome 19:NC_045577.1/CM020318.1; chromosome 20:NC_045578.1/CM020319.1; chromosome 21:NC_045579.1/CM020320.1; chromosome 22:NC_045580.1/CM020321.1; chromosome 23:NC_045581.1/CM020322.1; chromosome 24:NC_045582.1/CM020323.1; chromosome 25:NC_045583.1/CM020324.1; chromosome 26:NC_045584.1/CM020325.1; chromosome 27:NC_045585.1/CM020326.1; chromosome 28:NC_045586.1/CM020327.1; chromosome 29:NC_045587.1/CM020328.1; chromosome 30:NC_045588.1/CM020329.1; chromosome 31:NC_045589.1/CM020330.1; chromosome 32:NC_045590.1/CM020331.1; chromosome 33:NC_045591.1/CM020332.1; chromosome 34:NC_045592.1/CM020333.1; chromosome Z:NC_045593.1/CM020334.1; chromosome W:NC_045594.1/CM020335.1; mitochondrion MT:NC_024595.1/	WNMM01	105	17219.0	27761.0	2019/12/23	2019/12/31	Chromosome	NCBI	SAMN12621346	1.6122306754166909
2792	Papilio polytes	76194	PRJDB2954	274168	Animals	Insects	227.021	34.499	GCA_000836215.1	mitochondrion MT:NC_024742.1/	BBJD01	3874	13421.0	16633.0	2015/01/30	2015/01/30	Scaffold	Tokyo Institute of Technology	SAMD00018697	1.239326428731093
2798	Anabas testudineus	64144	PRJEB25768	448128	Animals	Fishes	555.658	40.4629	GCA_900324465.2	chromosome 1:NC_046610.1/LR132051.1; chromosome 2:NC_046611.1/LR132053.1; chromosome 3:NC_046612.1/LR132036.1; chromosome 4:NC_046613.1/LR132043.1; chromosome 5:NC_046614.1/LR132035.1; chromosome 6:NC_046615.1/LR132047.1; chromosome 7:NC_046616.1/LR132050.1; chromosome 8:NC_046617.1/LR132046.1; chromosome 9:NC_046618.1/LR132038.1; chromosome 10:NC_046619.1/LR132037.1; chromosome 11:NC_046620.1/LR132045.1; chromosome 12:NC_046621.1/LR132041.1; chromosome 13:NC_046622.1/LR132048.1; chromosome 14:NC_046623.1/LR132054.1; chromosome 15:NC_046624.1/LR132040.1; chromosome 16:NC_046625.1/LR132055.1; chromosome 17:NC_046626.1/LR132052.1; chromosome 18:NC_046627.1/LR132042.1; chromosome 19:NC_046628.1/LR132049.1; chromosome 21:NC_046629.1/LR132057.1; chromosome 22:NC_046630.1/LR132056.1; chromosome 23:NC_046631.1/LR132044.1; chromosome 24:NC_046632.1/LR132039.1; mitochondrion MT:NC_024752.1/	OOHO02	51	26944.0	40360.0	2018/03/31	2021/04/23	Chromosome	Wellcome Sanger Institute	SAMEA104026376	1.4979216152019001
2809	Passer montanus	9160	PRJNA703052	703052	Animals	Birds	1039.97	42.0001	GCA_014805655.1	mitochondrion MT:NC_024821.1/	JABBVY01	18975	18585.0	39149.0	2020/09/30	2020/09/30	Scaffold	NCBI	SAMN07998528	2.106483723432876
2834	Mus caroli	10089	PRJEB14895	360714	Animals	Mammals	2552.83	42.6196	GCA_900094665.2	chromosome 1:NC_034570.1/LT608242.1; chromosome 2:NC_034571.1/LT608244.1; chromosome 3:NC_034572.1/LT608232.1; chromosome 4:NC_034573.1/LT608246.1; chromosome 5:NC_034574.1/LT608240.1; chromosome 6:NC_034575.1/LT608245.1; chromosome 7:NC_034576.1/LT608243.1; chromosome 8:NC_034577.1/LT608237.1; chromosome 9:NC_034578.1/LT608231.1; chromosome 10:NC_034579.1/LT608233.1; chromosome 11:NC_034580.1/LT608241.1; chromosome 12:NC_034581.1/LT608234.1; chromosome 13:NC_034582.1/LT608247.1; chromosome 14:NC_034583.1/LT608238.1; chromosome 15:NC_034584.1/LT608239.1; chromosome 16:NC_034585.1/LT608236.1; chromosome 17:NC_034586.1/LT608229.1; chromosome 18:NC_034587.1/LT608235.1; chromosome 19:NC_034588.1/LT608248.1; chromosome X:NC_034589.1/LT608230.1; mitochondrion MT:NC_025268.1/	FMAL02	3078	32457.0	47348.0	2017/01/10	2017/04/26	Chromosome	European Bioinformatics Institute	SAMEA3367631	1.4587916320054226
2847	Macadamia integrifolia	60698	PRJNA748012	748012	Plants	Land Plants	744.937	39.2926	GCA_013358625.1	chromosome 1:NC_056557.1/CM023665.1; chromosome 2:NC_056558.1/CM023666.1; chromosome 3:NC_056559.1/CM023667.1; chromosome 4:NC_056560.1/CM023668.1; chromosome 5:NC_056561.1/CM023669.1; chromosome 6:NC_056562.1/CM023670.1; chromosome 7:NC_056563.1/CM023671.1; chromosome 8:NC_056564.1/CM023672.1; chromosome 9:NC_056565.1/CM023673.1; chromosome 10:NC_056566.1/CM023674.1; chromosome 11:NC_056567.1/CM023675.1; chromosome 12:NC_056568.1/CM023676.1; chromosome 13:NC_056569.1/CM023677.1; chromosome 14:NC_056570.1/CM023678.1; chloroplast Pltd:NC_025288.1/	JAAEEG01	2644	38075.0	46649.0	2020/06/17	2021/07/09	Chromosome	NCBI	SAMN13508564	1.2251871306631648
2851	Mustela erminea	36723	PRJNA602914	602914	Animals	Mammals	2445.22	41.6458	GCA_009829155.1	chromosome 1:NC_045614.1/CM020568.1; chromosome 2:NC_045615.1/CM020569.1; chromosome 3:NC_045616.1/CM020570.1; chromosome 4:NC_045617.1/CM020571.1; chromosome 5:NC_045618.1/CM020572.1; chromosome 6:NC_045619.1/CM020573.1; chromosome 7:NC_045620.1/CM020574.1; chromosome 8:NC_045621.1/CM020575.1; chromosome 9:NC_045622.1/CM020576.1; chromosome 10:NC_045623.1/CM020577.1; chromosome 11:NC_045624.1/CM020578.1; chromosome 12:NC_045625.1/CM020579.1; chromosome 13:NC_045626.1/CM020580.1; chromosome 14:NC_045627.1/CM020581.1; chromosome 15:NC_045628.1/CM020582.1; chromosome 16:NC_045629.1/CM020583.1; chromosome 17:NC_045630.1/CM020584.1; chromosome 18:NC_045631.1/CM020585.1; chromosome 19:NC_045632.1/CM020586.1; chromosome 20:NC_045633.1/CM020587.1; chromosome 21:NC_045634.1/CM020588.1; chromosome X:NC_045635.1/CM020589.1; chromosome Y:NC_045636.1/CM020590.1; mitochondrion MT:NC_025516.1/CM020617.1	WNLY01	94	34309.0	60443.0	2020/01/03	2020/01/03	Chromosome	NCBI	SAMN12611999	1.7617243288932933
2865	Exophiala mesophila	212818	PRJNA325797	325797	Fungi	Ascomycetes	29.2737	50.4	GCA_000836275.1		JYBW01	9	9237.0	10347.0	2015/02/10	2017/06/26	Scaffold	Broad Institute	SAMN03176949	1.1201688860019487
2870	Cervus canadensis	1574408	PRJNA758978	758978	Animals	Mammals	2526.61	41.6273	GCA_019320065.1	chromosome 1:NC_057386.1/CM033191.1; chromosome 2:NC_057387.1/CM033192.1; chromosome 3:NC_057388.1/CM033193.1; chromosome 4:NC_057389.1/CM033194.1; chromosome 5:NC_057390.1/CM033195.1; chromosome 6:NC_057391.1/CM033196.1; chromosome 7:NC_057392.1/CM033197.1; chromosome 8:NC_057393.1/CM033198.1; chromosome 9:NC_057394.1/CM033199.1; chromosome 10:NC_057395.1/CM033200.1; chromosome 11:NC_057396.1/CM033201.1; chromosome 12:NC_057397.1/CM033202.1; chromosome 13:NC_057398.1/CM033203.1; chromosome 14:NC_057399.1/CM033204.1; chromosome 15:NC_057400.1/CM033205.1; chromosome 16:NC_057401.1/CM033206.1; chromosome 17:NC_057402.1/CM033207.1; chromosome 18:NC_057403.1/CM033208.1; chromosome 19:NC_057404.1/CM033209.1; chromosome 20:NC_057405.1/CM033210.1; chromosome 21:NC_057406.1/CM033211.1; chromosome 22:NC_057407.1/CM033212.1; chromosome 23:NC_057408.1/CM033213.1; chromosome 24:NC_057409.1/CM033214.1; chromosome 25:NC_057410.1/CM033215.1; chromosome 26:NC_057411.1/CM033216.1; chromosome 27:NC_057412.1/CM033217.1; chromosome 28:NC_057413.1/CM033218.1; chromosome 29:NC_057414.1/CM033219.1; chromosome 30:NC_057415.1/CM033220.1; chromosome 31:NC_057416.1/CM033221.1; chromosome 32:NC_057417.1/CM033222.1; chromosome 33:NC_057418.1/CM033223.1; chromosome X:NC_057419.1/CM033224.1; chromosome Y:NC_057420.1/CM033225.1; mitochondrion MT:CM033226.1	JACTMD01	185	35756.0	56132.0	2021/07/22	2021/07/26	Chromosome	NCBI	SAMN15814149	1.5698624007159638
2875	Trichinella nelsoni	6336	PRJNA257433	257433	Animals	Roundworms	47.436	33.6	GCA_001447455.1		JYDL01	2969	13229.0	17008.0	2015/11/24	2016/03/08	Scaffold	University of Melbourne	SAMN02949482	1.2856602917832036
2876	Trichinella nativa	6335	PRJNA257433	257433	Animals	Roundworms	47.2362	33.5	GCA_001447565.2		JYDW01	2483	12838.0	16586.0	2015/11/24	2016/03/08	Scaffold	University of Melbourne	SAMN02949468	1.291945785947967
2878	Trichinella britovi	45882	PRJNA257433	257433	Animals	Roundworms	51.5048	33.8	GCA_001447585.1		JYDI01	7991	16058.0	20907.0	2015/11/24	2016/03/08	Scaffold	University of Melbourne	SAMN02949469	1.3019678664839955
2881	Trichinella zimbabwensis	268475	PRJNA257433	257433	Animals	Roundworms	50.7951	32.9	GCA_001447665.1		JYDP01	10839	14764.0	19269.0	2015/11/24	2016/03/08	Scaffold	University of Melbourne	SAMN02949506	1.3051341099972906
2882	Trichinella papuae	268474	PRJNA257433	257433	Animals	Roundworms	46.8445	32.7	GCA_001447755.1		JYDO01	2542	11837.0	16247.0	2015/11/24	2016/03/08	Scaffold	University of Melbourne	SAMN02949504	1.3725606150206977
2889	Periophthalmus magnuspinnatus	409849	PRJNA627707	627707	Animals	Fishes	752.606	38.5767	GCA_009829125.3	chromosome 1:NC_047126.1/CM020591.1; chromosome 2:NC_047127.1/CM020592.1; chromosome 3:NC_047128.1/CM020593.1; chromosome 4:NC_047129.1/CM020594.1; chromosome 5:NC_047130.1/CM020595.1; chromosome 6:NC_047131.1/CM020596.1; chromosome 7:NC_047132.1/CM020597.1; chromosome 8:NC_047133.1/CM020598.1; chromosome 9:NC_047134.1/CM020599.1; chromosome 10:NC_047135.1/CM020600.1; chromosome 11:NC_047136.2/CM020601.2; chromosome 12:NC_047137.1/CM020602.1; chromosome 13:NC_047138.1/CM020603.1; chromosome 14:NC_047139.1/CM020604.1; chromosome 15:NC_047140.1/CM020605.1; chromosome 16:NC_047141.1/CM020606.1; chromosome 17:NC_047142.1/CM020607.1; chromosome 18:NC_047143.1/CM020608.1; chromosome 19:NC_047144.1/CM020609.1; chromosome 20:NC_047145.1/CM020610.1; chromosome 21:NC_047146.1/CM020611.1; chromosome 22:NC_047147.1/CM020612.1; chromosome 23:NC_047148.1/CM020613.1; chromosome 24:NC_047149.1/CM020614.1; mitochondrion MT:CM020616.1	WNMA01	122	24689.0	27625.0	2020/01/03	2023/03/21	Chromosome	NCBI	SAMN12629500	1.1189193567985742
